total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.28746e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.466346,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.28882e-05,0,1.19209e-06,0,0,1,0,1,0,1,0,0,0,0,0,0.015,0.322692,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.19481e-05,0,1.19209e-06,0,9.53674e-07,5,0,5,0,5,9.53674e-07,0,3.09944e-06,4,24,0.015,0.173654,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
3.79086e-05,0,1.19209e-06,0,9.53674e-07,7,0,7,9.53674e-07,7,9.53674e-07,0,3.09944e-06,6,36,0.015,0.0438462,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
4.19617e-05,0,1.19209e-06,0,9.53674e-07,8,0,8,9.53674e-07,8,9.53674e-07,0,4.05312e-06,7,42,0.015,0.0438462,1,8,0,784,7,0,0,7,0,0,1,0:1;1:7;
0.000133991,0.000114918,1.19209e-06,0.00011301,2.19345e-05,494,1.52588e-05,203,1.23978e-05,108,5.00679e-06,1,1.38283e-05,107,642,0.015,0.0438462,1,108,1,11984,107,1,0,107,0,0,1,1:107;
0.000150919,0.000114918,1.19209e-06,0.00011301,2.19345e-05,494,1.52588e-05,203,1.23978e-05,108,5.00679e-06,1,1.38283e-05,107,642,0.015,0.0438462,1,108,1,11984,107,1,0,107,0,0,1,1:101;
0.00422001,0.00414586,2.52724e-05,0.00411677,0.00213695,49039,0.000622749,10098,1.23978e-05,108,5.00679e-06,102,1.38283e-05,107,642,0.28,0.0438462,1,0,1,11312,0,0,0,107,0,0,1,
0.0042479,0.00414586,2.52724e-05,0.00411677,0.00213695,49039,0.000622749,10098,1.23978e-05,108,5.00679e-06,102,1.38283e-05,107,642,0.28,0.0438462,1,0,1,11312,0,0,0,107,0,0,1,
0.00430799,0.00414586,2.52724e-05,0.00411677,0.00213695,49039,0.000622749,10098,1.23978e-05,108,5.00679e-06,102,1.38283e-05,107,642,0.28,0.0438462,1,0,1,11312,0,0,0,107,0,0,1,
